loss,val_loss
53.06877517700195,25.630741119384766
23.978591918945312,22.974246978759766
22.29170036315918,21.968273162841797
21.728071212768555,21.62724494934082
21.452653884887695,21.44347381591797
21.25345802307129,21.208139419555664
21.024534225463867,20.984832763671875
20.812110900878906,20.7517032623291
20.62129783630371,20.686172485351562
20.45447540283203,20.42092514038086
20.31070327758789,20.23805809020996
20.203025817871094,20.330062866210938
20.06685447692871,20.078182220458984
19.976673126220703,20.006244659423828
19.914846420288086,19.94487762451172
19.789852142333984,19.768207550048828
19.6916561126709,19.57210350036621
19.52537727355957,19.407920837402344
19.198068618774414,19.118627548217773
18.90461540222168,18.74188232421875
18.739503860473633,18.70405387878418
18.62826919555664,18.69013786315918
18.58779525756836,18.48900032043457
18.470829010009766,18.41974639892578
18.436309814453125,18.474143981933594
18.368181228637695,18.387208938598633
18.323680877685547,18.473663330078125
18.301565170288086,18.26724624633789
18.254077911376953,18.219419479370117
18.251922607421875,18.16414451599121
